"National
Dex","Pokemon
Name",Generation,Type,"Kanto Dex #
(RBYFRLG)","Kanto Dex #
(LGPE)","New Dex #
(GSC)","Johto Dex #
(HGSS)","Hoenn Dex #
(RSE)","Hoenn Dex #
(ORAS)","Sinnoh Dex #
(DPBDSP)","Sinnoh Dex #
(Pt)","Unova Dex #
(BW)","Unova Dex #
(B2W2)","Central Kalos Dex #
(XY)","Coastal Kalos Dex #
(XY)","Mount Kalos Dex #
(XY)","Alola Dex #
(SM)","Melemele Dex #
(SM)","Akala Dex #
(SM)","Ula'ula Dex #
(SM)","Poni Dex #
(SM)","Alola Dex #
(USUM)","Melemele Dex #
(USUM)","Akala Dex #
(USUM)","Ula'ula Dex #
(USUM)","Poni Dex #
(USUM)","Galar Dex #
(SwSh)","Isle of Armor Dex #
(SwSh)","Crown Tund Dex #
(SwSh)","Hisui Dex #
(LA)","Paldea Dex #
(SV)",Kitakami Dex # (SV),Blueberry Dex # (SV),HP,Attack,Defense,"Special
Attack","Special
Defense",Speed,Total,Type I,Type II,Ability I,Ability II,Hidden Ability,Height (ft),Height (m),Weight (lbs),Weight (kg),HP EVs,Attcak EVs,Defense EVs,Special Attack EVs,Special Defense EVs,Speed EVs,"Experience
Value",Catch Rate,"Experience
Growth",Base Friendship,Pokedex Color,Gender Ratio,Egg Cycles,Egg Group I,Egg Group II,"Evolution
Method"
1,Bulbasaur,1,Starter,1,1,226,231,,,,,,,80,,,,,,,,,,,,,,68,,,,,164,45,49,49,65,65,45,318,Grass,Poison,Overgrow,,Chlorophyll,"2'04""","0,7","15,2","6,9",,,,1,,,64,45,Med Slow,50,Green,M (87.5%),20,Monster,Grass,Lv. 16
2,Ivysaur,1,Starter,2,2,227,232,,,,,,,81,,,,,,,,,,,,,,69,,,,,165,60,62,63,80,80,60,405,Grass,Poison,Overgrow,,Chlorophyll,"3'03""",1,"28,7",13,,,,1,1,,142,45,Med Slow,50,Green,M (87.5%),20,Monster,Grass,Lv. 32
3,Venusaur,1,Starter,3,3,228,233,,,,,,,82,,,,,,,,,,,,,,70,,,,,166,80,82,83,100,100,80,525,Grass,Poison,Overgrow,,Chlorophyll,"6'07""",2,"220,5",100,,,,2,1,,263,45,Med Slow,50,Green,M (87.5%),20,Monster,Grass,
"3,1",Venusaur (Mega),6,"Starter, Mega Evolution",,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,80,100,123,122,120,80,625,Grass,Poison,Thick Fat,,,"7'10""","2,4","342,8","155,5",,,,2,1,,313,45,Med Slow,50,Green,M (87.5%),20,Monster,Grass,
4,Charmander,1,Starter,4,4,229,234,,,,,,,83,,,,,,,,,,,,,378,,,,,,167,39,52,43,60,50,65,309,Fire,,Blaze,,Solar Power,"2'00""","0,6","18,7","8,5",,,,,,1,62,45,Med Slow,50,Red,M (87.5%),20,Monster,Dragon,Lv. 16
5,Charmeleon,1,Starter,5,5,230,235,,,,,,,84,,,,,,,,,,,,,379,,,,,,168,58,64,58,80,65,80,405,Fire,,Blaze,,Solar Power,"3'07""","1,1","41,9",19,,,,1,,1,142,45,Med Slow,50,Red,M (87.5%),20,Monster,Dragon,Lv. 36
6,Charizard,1,Starter,6,6,231,236,,,,,,,85,,,,,,,,,,,,,380,,,,,,169,78,84,78,109,85,100,534,Fire,Flying,Blaze,,Solar Power,"5'07""","1,7","199,5","90,5",,,,3,,,267,45,Med Slow,50,Red,M (87.5%),20,Monster,Dragon,
"6,1",Charizard (Mega X),6,"Starter, Mega Evolution",,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,78,130,111,130,85,100,634,Fire,Dragon,Tough Claws,,,"5'07""","1,7","243,6","110,5",,,,3,,,317,45,Med Slow,50,Black,M (87.5%),20,Monster,Dragon,
"6,2",Charizard (Mega Y),6,"Starter, Mega Evolution",,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,78,104,78,159,115,100,634,Fire,Flying,Drought,,,"5'07""","1,7","221,6","100,5",,,,3,,,317,45,Med Slow,50,Red,M (87.5%),20,Monster,Dragon,
7,Squirtle,1,Starter,7,7,232,237,,,,,,,86,,,,,,,,,,,,,,71,,,,,170,44,48,65,60,54,43,314,Water,,Torrent,,Rain Dish,"1'08""","0,5","19,8",9,,,1,,,,63,45,Med Slow,50,Blue,M (87.5%),20,Monster,Water 1,Lv. 16
8,Wartortle,1,Starter,8,8,233,238,,,,,,,87,,,,,,,,,,,,,,72,,,,,171,59,63,80,65,80,58,405,Water,,Torrent,,Rain Dish,"3'03""",1,"49,6","22,5",,,1,,1,,142,45,Med Slow,50,Blue,M (87.5%),20,Monster,Water 1,Lv. 36
9,Blastoise,1,Starter,9,9,234,239,,,,,,,88,,,,,,,,,,,,,,73,,,,,172,79,83,100,85,105,78,530,Water,,Torrent,,Rain Dish,"5'03""","1,6","188,5","85,5",,,,,3,,265,45,Med Slow,50,Blue,M (87.5%),20,Monster,Water 1,
"9,1",Blastoise (Mega),6,"Starter, Mega Evolution",,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,79,103,120,135,115,78,630,Water,,Mega Launcher,,,"5'03""","1,6","222,9","101,1",,,,,3,,315,45,Med Slow,50,Blue,M (87.5%),20,Monster,Water 1,
10,Caterpie,1,,10,10,24,24,,,,,,,23,,,17,17,8,,,17,17,8,,,13,,,,,,,45,30,35,20,20,45,195,Bug,,Shield Dust,,Run Away,"1'00""","0,3","6,4","2,9",1,,,,,,39,255,Med Fast,50,Green,Neutral,15,Bug,,Lv. 7
11,Metapod,1,,11,11,25,25,,,,,,,24,,,18,18,9,,,18,18,9,,,14,,,,,,,50,20,55,25,25,30,205,Bug,,Shed Skin,,,"2'04""","0,7","21,8","9,9",,,2,,,,72,120,Med Fast,50,Green,Neutral,15,Bug,,Lv. 10
12,Butterfree,1,,12,12,26,26,,,,,,,25,,,19,19,10,,,19,19,10,,,15,,,,,,,60,45,50,90,80,70,395,Bug,Flying,Compoundeyes,,Tinted Lens,"3'07""","1,1","70,5",32,,,,2,1,,178,45,Med Fast,50,White,Neutral,15,Bug,,
13,Weedle,1,,13,13,27,27,,,,,,,26,,,,,,,,,,,,,,,,,,,,40,35,30,20,20,50,195,Bug,Poison,Shield Dust,,Run Away,"1'00""","0,3","7,1","3,2",,,,,,1,39,255,Med Fast,50,Brown,Neutral,15,Bug,,Lv. 7
14,Kakuna,1,,14,14,28,28,,,,,,,27,,,,,,,,,,,,,,,,,,,,45,25,50,25,25,35,205,Bug,Poison,Shed Skin,,,"2'00""","0,6",22,10,,,2,,,,72,120,Med Fast,50,Yellow,Neutral,15,Bug,,Lv. 10
15,Beedrill,1,,15,15,29,29,,,,,,,28,,,,,,,,,,,,,,,,,,,,65,90,40,40,80,75,390,Bug,Poison,Swarm,,Sniper,"3'03""",1,65,"29,5",,2,,,1,,178,45,Med Fast,50,Yellow,Neutral,15,Bug,,Lv. 10
"15,1",Beedrill (Mega),6,Mega Evolution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,150,40,15,80,145,495,Bug,Poison,Adaptability,,,"4'07""","1,4","89,3","40,5",,2,,,1,,248,45,Med Fast,50,Yellow,Neutral,15,Bug,,
16,Pidgey,1,,16,16,10,10,,,,,,,17,,,,,,,,,,,,,,,,,,,,40,45,40,35,35,56,251,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,"1'00""","0,3",4,"1,8",,,,,,1,50,255,Med Slow,50,Brown,Neutral,15,Flying,,Lv. 18
17,Pidgeotto,1,,17,17,11,11,,,,,,,18,,,,,,,,,,,,,,,,,,,,63,60,55,50,50,71,349,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,"3'07""","1,1","66,1",30,,,,,,2,122,120,Med Slow,50,Brown,Neutral,15,Flying,,Lv. 36
18,Pidgeot,1,,18,18,12,12,,,,,,,19,,,,,,,,,,,,,,,,,,,,83,80,75,70,70,91,469,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,"4'11""","1,5","87,1","39,5",,,,,,3,240,45,Med Slow,50,Brown,Neutral,15,Flying,,Lv. 36
